"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.RES:WEO(9.0.0)","FRA.TX_RPCH.A","OBS_VALUE","France","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","9.074","3.797","12.763","8.605","4.607","13.275","2.768","2.174","-1.341","4.655","4.432","5.838","2.760","0.341","-10.289","8.050","6.736","2.790","2.894","2.738","4.358","1.887","4.778","3.644","2.206","-16.854","11.048","9.309","2.838"
"IMF.RES:WEO(9.0.0)","SMR.GGR_NGDP.A","OBS_VALUE","San Marino, Republic of","Revenue, General government, Percent of GDP","Annual","Units","","","","","","","","","","21.419","22.913","21.162","22.478","22.208","22.377","22.125","21.327","23.497","22.419","24.796","22.969","23.251","22.080","22.951","22.341","21.586","20.670","22.087","20.954"
"IMF.RES:WEO(9.0.0)","DNK.TM_RPCH.A","OBS_VALUE","Denmark","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","7.003","3.121","9.208","7.575","2.553","13.667","2.395","6.376","-1.024","7.137","11.802","13.942","5.807","4.540","-12.180","1.315","8.060","2.851","1.458","4.068","4.063","4.286","4.322","5.705","3.053","-3.954","9.552","5.995","2.523"
"IMF.RES:WEO(9.0.0)","FRA.GGR_NGDP.A","OBS_VALUE","France","Revenue, General government, Percent of GDP","Annual","Units","50.942","52.121","51.857","51.587","52.112","51.306","51.405","50.749","50.266","50.445","50.756","51.092","50.641","50.780","50.612","50.559","51.709","52.721","53.654","53.820","53.708","53.616","54.300","54.048","52.953","52.766","52.880","53.691","51.394"
"IMF.RES:WEO(9.0.0)","DNK.TX_RPCH.A","OBS_VALUE","Denmark","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","2.883","4.650","4.487","4.101","11.270","12.578","3.353","4.358","-1.202","3.015","7.841","10.333","3.638","3.870","-9.166","3.026","7.447","1.259","1.390","3.019","3.232","3.662","4.806","3.404","4.417","-6.360","7.737","6.585","7.783"
"IMF.RES:WEO(9.0.0)","DEU.TX_RPCH.A","OBS_VALUE","Germany","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","6.808","5.941","12.278","6.888","4.721","14.258","5.891","4.019","1.555","9.960","6.884","12.491","8.913","0.869","-14.491","13.737","8.074","3.262","0.651","4.229","4.307","1.808","4.519","2.729","2.097","-10.273","9.994","4.041","-0.927"
"IMF.RES:WEO(9.0.0)","DEU.NGDP_RPCH.A","OBS_VALUE","Germany","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","1.512","1.031","1.854","2.102","2.127","2.879","1.640","-0.234","-0.530","1.165","0.889","3.857","2.892","0.888","-5.550","4.144","3.758","0.466","0.395","2.177","1.663","2.217","2.806","1.133","0.973","-4.127","3.913","1.807","-0.872"
"IMF.RES:WEO(9.0.0)","FRA.NID_NGDP.A","OBS_VALUE","France","Gross capital formation, Percent of GDP","Annual","Units","20.187","19.222","18.894","20.127","20.731","21.858","21.515","20.700","20.651","21.364","21.911","22.685","23.569","23.467","20.718","21.338","22.500","21.830","21.520","21.837","21.717","21.598","22.181","22.612","23.025","22.804","23.447","24.023","22.958"
"IMF.RES:WEO(9.0.0)","DNK.LUR.A","OBS_VALUE","Denmark","Unemployment rate","Annual","Units","6.758","6.317","5.242","4.883","5.108","4.317","4.508","4.642","5.433","5.517","4.800","3.900","3.617","2.650","4.833","6.058","5.950","6.075","5.758","4.992","4.542","4.125","4.200","3.850","3.658","4.658","3.592","2.508","2.767"
"IMF.RES:WEO(9.0.0)","FRA.LUR.A","OBS_VALUE","France","Unemployment rate","Annual","Units","10.508","10.833","10.892","10.692","10.442","9.175","8.458","8.275","8.525","8.875","8.875","8.842","8.017","7.442","9.125","9.275","9.208","9.767","10.300","10.267","10.342","10.067","9.408","9.025","8.425","8.025","7.867","7.300","7.342"
